class_nbr	pattern	mtg_start	mtg_end
34353	TTH	10.00.00.000000	11.20.00.000000
8852	TTH	10.00.00.000000	11.20.00.000000
8167	TTH	08.30.00.000000	09.50.00.000000
8529	TTH	08.30.00.000000	09.50.00.000000
9153	TTH	10.00.00.000000	11.20.00.000000
15917	TTH	11.30.00.000000	12.50.00.000000
9248	TTH	08.30.00.000000	09.50.00.000000
15422	TTH	13.00.00.000000	14.20.00.000000
33511	TTH	13.00.00.000000	14.20.00.000000
33631	TTH	19.00.00.000000	20.20.00.000000
8641	TTH	10.00.00.000000	11.20.00.000000
8564	TTH	08.30.00.000000	09.50.00.000000
8510	TTH	10.00.00.000000	11.20.00.000000
8743	TTH	13.00.00.000000	14.20.00.000000
9281	TTH	17.30.00.000000	18.50.00.000000
9282	TTH	16.00.00.000000	17.20.00.000000
8567	TTH	16.00.00.000000	17.20.00.000000
33781	TTH	14.30.00.000000	15.50.00.000000
8961	TTH	16.00.00.000000	17.20.00.000000
8637	TTH	13.00.00.000000	14.20.00.000000
8166	TTH	10.00.00.000000	11.20.00.000000
33522	TTH	14.30.00.000000	15.50.00.000000
8566	TTH	17.30.00.000000	18.50.00.000000
8741	TTH	11.00.00.000000	12.20.00.000000
16063	TTH	14.30.00.000000	15.50.00.000000
33825	TTH	08.30.00.000000	09.50.00.000000
9220	TTH	14.30.00.000000	15.50.00.000000
16511	TTH	08.30.00.000000	09.50.00.000000
16638	TTH	08.30.00.000000	09.50.00.000000
34165	TTH	13.00.00.000000	14.20.00.000000
16173	TTH	13.00.00.000000	14.20.00.000000
16142	TTH	16.00.00.000000	17.20.00.000000
9280	TTH	10.00.00.000000	11.20.00.000000
16512	TTH	11.00.00.000000	12.20.00.000000
9239	W	17.30.00.000000	20.20.00.000000
9584	W	18.00.00.000000	20.50.00.000000
6660	W	17.30.00.000000	20.20.00.000000
15865	W	11.30.00.000000	14.20.00.000000
9168	W	16.00.00.000000	16.50.00.000000
33767	W	08.00.00.000000	10.50.00.000000
33623	W	18.00.00.000000	20.50.00.000000
33383	W	14.00.00.000000	15.50.00.000000
8442	W	09.30.00.000000	10.20.00.000000
8626	W	12.30.00.000000	15.20.00.000000
9161	W	11.30.00.000000	12.20.00.000000
15878	W	14.30.00.000000	15.20.00.000000
33429	W	18.30.00.000000	21.20.00.000000
33066	W	18.00.00.000000	19.50.00.000000
9165	W	11.30.00.000000	12.20.00.000000
9167	W	09.30.00.000000	10.20.00.000000
8515	W	14.30.00.000000	17.20.00.000000
8934	W	17.30.00.000000	20.20.00.000000
9082	W	14.30.00.000000	15.20.00.000000
34288	W	09.30.00.000000	12.20.00.000000
8962	W	14.30.00.000000	17.20.00.000000
9063	W	12.00.00.000000	12.50.00.000000
8438	W	13.30.00.000000	16.20.00.000000
8261	W	17.30.00.000000	19.20.00.000000
9191	W	14.30.00.000000	17.20.00.000000
8621	W	13.30.00.000000	16.20.00.000000
9214	W	16.00.00.000000	18.50.00.000000
8563	W	11.00.00.000000	13.50.00.000000
8443	W	10.30.00.000000	12.20.00.000000
33685	W	11.30.00.000000	14.20.00.000000
15809	W	18.30.00.000000	21.20.00.000000
15866	W	08.30.00.000000	11.20.00.000000
34191	W	10.30.00.000000	11.20.00.000000
8856	W	08.30.00.000000	11.20.00.000000
9219	W	17.30.00.000000	20.20.00.000000
33671	W	18.30.00.000000	21.20.00.000000
16311	W	17.30.00.000000	19.20.00.000000
33586	W	17.30.00.000000	20.20.00.000000
34003	W	14.30.00.000000	17.20.00.000000
9149	W	14.30.00.000000	17.20.00.000000
6661	W	17.30.00.000000	20.20.00.000000
16231	W	18.30.00.000000	21.30.00.000000
33587	W	17.30.00.000000	20.20.00.000000
15810	W	18.30.00.000000	21.20.00.000000
8767	W	14.30.00.000000	15.30.00.000000
33476	W	17.30.00.000000	20.20.00.000000
