ID	BetweennessCentrality	ClosenessCentrality	Community CC	Global CC (per component)	Degree
085ce5f9e13aea748dcdcb2ae105def4	4.46E-04	0.2999588	0.586603682	0.60470375	67
087657c3d29467cc9d76de265cdfc2dd	0	0.3190184	0.952465396	1	114
088f2ffb4bca94829e13cace88331f19	3.44E-04	0.3380805	0.767216847	0.64844156	176
08a8361c7b285cf8c13cffca20a9e349	2.57E-04	0.33656958	0.7267645	0.64357864	99
08f0d09c0ef8e53454db035ff9fec02c	0	0.30682776	0.99378882	1	81
08fcb9f3a6663b71e0c46a915be4d810	0	0.32704403	0.985074627	1	50
09026311c5002fa0886ae3a32b57f6e9	0.0074156	0.36941813	0.820519293	0.48937667	207
09082304e74c3c001aa906bcb6090b07	0	0.24994278	0.983606557	1	27
099efb469949140c3e6597597276199d	7.13E-05	0.27423405	0.784715688	0.71959686	95
09bb8e8a25b11e6d3e8a4c722ef72094	0	0.28064765	0.987341772	1	45
09c9dc8a9e1900548031b4510427b1f5	0	0.31943835	0.984126984	1	45
09d638d6104d6fe6316b9da92a598878	0.00152468	0.31939163	0.908536585	0.55617284	81
09e3141ce6f86bbce409dcfbc6fada29	0.13186813	1	0.708994709	0.6043956	14
09f767acb4a525e35e78abf38872f775	0	0.24951445	0.86693741	1	39
09fa2ab4ccf172c99f372cd0874adfe1	6.05E-04	0.35299822	0.804077618	0.7206823	134
0a4b3d45caac4efe5a7e049a731a456b	0	0.28474576	0.983050847	1	37
0a4ebaa1897266ecfe0ec2a0b767c51f	3.14E-04	0.32689717	0.781954887	0.59664459	151
0a5c70fa393472aa9bed2f5550487835	0	0.31547017	0.965517241	1	24
0a832869a939622c47263fe019033778	0	0.34291098	0.987654321	1	57
0a970ab2ada1effa27c7666ad924745e	5.68E-05	0.31606368	0.658115071	0.66206289	83
0aa200e21df2e8fb32d27f623371c731	0	0.31329795	0.926923077	1	46
0aa5ac5b3bc14e33781ff660c624db38	0	0.31652174	0.813291139	1	64
0aa710e1bd646802101432eaefbaad24	0	0.26751592	0.989247312	1	52
0ab10c02353990681202e5300ba7bd43	0	0.30682776	0.99378882	1	81
0ac1375b235b5ce43af80e58cc551235	7.46E-04	0.32971014	0.600040185	0.55136364	176
0ada3c5837b66a2788aa8bf3d9828b3f	0	0.22067293	0.981818182	1	28
0adaee8114471deed76f7150b14d4d30	0	0.1899626	0.981132075	1	27
0b0e34cf3da89d822c9289dd106558c7	0	0.23524343	0.923076923	1	8
0b17427eae8a1917501ba3a34fa48c44	0	0.3190184	0.989162041	1	114
0b23f432bdfae3e99bd82b01338a8e53	0	0.30413591	0.801834862	1	52
0b259e455b2ccd3ea29be85840cb9742	0	0.2403169	0.923076923	1	14
0b4aab48a5c7506a55cc7eaede2303e1	2.09E-04	0.32966038	0.606630161	0.66953236	146
0b6f378e9789f8885be777c05f472a9b	0.00273813	0.34633682	0.522577142	0.46525054	136
0baddba119d728cd1d78fa346498e5eb	0	0.30178251	0.985915493	1	39
0bc08d5395945dd2c3160b93ee4f644b	0.00107034	0.33703704	0.909090909	0.52570066	130
0bd89bf47f2c2ceb9b1b07b4d02782c1	3.64E-04	0.32164948	0.564443263	0.63583878	136
0bf85e793fd9b08d1c7f4cedc4d8bea3	0	0.1899626	0.981132075	1	27
0c072b2059ac9cf52c60f13081e367fb	0.00156143	0.34066448	0.8	0.38188722	230
0c19832cc0af6c1a6485fefcedfcd15e	0	0.31652174	0.911711712	1	64
0c2a3b2e7ab2a69021d058f60be45c5a	5.01E-04	0.34162365	0.933333333	0.67331761	149
0c6414bb3ad53f83c0e089add8247a63	0	0.31111111	0.72863666	1	74
0c656b4ec014fff5c3ed23420f33e8f2	0.00215293	0.29390392	0.923076923	0.54248366	18
0c66c0737e3a4c39bd6bd622b9fdad97	0	0.29694086	0.99047619	1	59
0c77eafcba60036f1ca466fe24849ea5	0	0.20047733	0.962962963	1	14
0cceebacd6232c53cc297d117495be8c	0	0.33201581	0.995515695	1	125
0cdb387bcff8e676861b90385457ba87	0.00114454	0.3108012	0.645475143	0.61413521	68
0cdc50c12af547ce3bc0cb7bcebd7d3e	0	0.26466311	0.950680272	1	25
0d25772431dcff6394730fd97f0b0285	2.97E-04	0.29201765	0.975609756	0.90769231	26
0d49b2e24044c81ed5457c7ae79d8811	1.59E-04	0.31370296	0.581920904	0.59944158	97
0d662e4abeef9f99002871494e93e879	0	0.31547017	0.965517241	1	24
0d7c2531dc570e19012b516056566923	0.00592804	0.25815603	0.813053613	0.75193798	43
0d8a0118094f8b4a4a0f13faa813065f	0	0.16061185	0.987951807	1	42
0d8ad8710791704e489689e14dac591b	0	0.28474576	0.983050847	1	37
0ded16a4b8be9b375258827b4d47ab81	2.64E-04	0.28927152	0.787361419	0.75321477	86
0dfa75cba8c7abed032f656e121140b9	2.89E-05	0.2408735	0.857142857	0.83809524	21
0e07e1bae809b89c9c663a3f90770163	0	0.27889158	0.719562244	1	33
0e20e0a9e05fb37284460b7338757f7e	2.42E-04	0.33471264	0.825313693	0.73456221	155
0e334acbedca9ced69c407610b88395d	0	0.1899626	0.981132075	1	27
0e391c652ed3952ccf00131f15929b8d	0	0.24167312	0.962962963	1	25
0e4d0a6cdfdd9612fcfa8702c5b8421f	0	0.27090052	0.899224806	1	63
0e6a7e5cf7fee808cdba40eba1c29dbf	0.00121384	0.33105957	0.638580931	0.54191657	123
0ea57030c52b4da12a37570cfd1e6f8e	9.31E-04	0.33287609	0.984126984	0.57192982	96
0ec32bad0bf10f2e8efd35c2c6f94655	0.00114454	0.3108012	0.73935773	0.61413521	68
0ece647ede66a588ff5c8191ea308246	0	0.28478289	0.831226054	1	62
0ed2cf7788087e280c0786f0ac2d8aee	0	0.30682776	0.99378882	1	81
0ee24e73ebf4145b8e1d4b37d44a4cd8	0	0.32635983	0.985074627	1	53
0f1e598f923729b4313af1b543fa8ad1	0	0.28892711	0.5703251	1	44
0f2d10b68ca94cfbe2aa13a07e3e3e7e	0	0.31071276	0.911675741	1	49
0f4fb50ec8d4e675a310da99e54fd985	2.78E-05	0.2559775	0.977616455	0.98709677	31
0f6dc24825324df369b4f2b13529b1fe	0	0.32577566	0.994413408	1	105
0f7cf4a9dc24e0fc6c02fe9e6d3541c6	2.42E-04	0.33471264	0.825313693	0.73456221	155
0f8080344e2d2439f0c02a281d08963c	9.56E-04	0.35773956	0.70570655	0.63134822	156
0fa5d649f03c0a68ddeac621870d9855	0.00938697	0.33353696	0.987341772	0.72386109	104
0fcf87d9603c1492f05d8c498d82863a	2.72E-04	0.29088972	0.787340576	0.73593074	78
101bcae5684ee93bc8ba345a3ed385b4	0	0.27440633	0.870542156	1	37
10642a7c69ffd293f6ff8fc14a907b96	0.00538722	0.31142165	0.536303022	0.35927073	171
107b13ead7cae1ff6c04d8228a8288c7	0	0.29694086	0.99047619	1	59
10838d619490d8c9bf0644e35f107856	1.10E-04	0.28969359	0.911655793	0.73506081	62
108fb16814ec51a9aa32f35d5b9f880c	0.00308467	0.35662965	0.563727914	0.48924792	188
10bcd0a97ddbba104797b5ca3ac2e457	0	0.34291098	0.987654321	1	57
10cdb8d45f4c7b2aae95e8a3a5592191	0	0.16061185	0.987951807	1	42
10dcc441edf9343da7ee9cfefae10163	0.00645862	0.37180797	1	0.58902597	176
10e50935e8582c3b206dae8e74066c0b	0	0.30178251	0.985915493	1	39
10f940db1663fc94581daa43bfe2edb4	3.49E-04	0.32150743	0.668201351	0.7003871	125
110048987847ae83605e73da5ea7cebf	0	0.33201581	0.995515695	1	125
11046ac7f89be912efbeac5413504b75	0	0.69444444	0.84516129	1	14
111c2bd817a3c1fa8cb166a8046d5a3d	0	0.22067293	0.981818182	1	28
113252c78f05b7e837dd2dfc6770c89e	1.23E-04	0.33231893	0.807232704	0.7453852	115
1174177fb26785e7ad3822c7a8956858	0.00168951	0.35628059	0.8	0.51381215	182
119e62beef00719012e684a178bd027b	0.00276135	0.31864605	0.51064644	0.4134084	139
11c354be8b5248c6bc44b39c212969f5	6.82E-05	0.27610619	0.684591774	0.65800274	86
11e6a517002b40b9c612111f035b5d5f	0	0.7	0.933333333	1	8
122ae91ea15c3e5fda905f0202456931	0	0.30682776	0.99378882	1	81
125974c6b0385b01236e400f3d78382c	0	0.24951445	0.969936709	1	39
1274f33992a95c7ef498aad94ff2aebf	0	0.2621534	0.976744186	1	24
1288fe1c19c09bfd7c3f21378968215b	0	0.29108357	0.933333333	1	10
12affc549fd7ec4611f47ec8ca9be1bb	2.45E-04	0.32519357	0.800547196	0.60862534	106
12b515eee02d03cadcd89131c823a005	0	0.31869254	0.987341772	1	87
12ba5e8529e5e39816f0f50bf8616fcd	6.58E-04	0.30917327	0.759451401	0.73353819	68
12c5ea42f46e557ffd48091fcd42a2dd	0	0.28770913	0.967579111	1	51
12d21861f38bd42933f54de8d9b1500d	0.00194593	0.3305585	0.59496124	0.54782998	150
12dfdfe497ff0d33d83082e5a13c757f	1.86E-05	0.31948508	0.983050847	0.82534653	101
12e0ac4e3cfb8abcbee2780fda6e35c9	0	0.34291098	0.987654321	1	57
133c3ca2d371d8e0f7c0654a5bda5a1a	7.57E-04	0.33050847	0.66976661	0.63241758	105
133e66e1284773a0a25c0de9412e978e	0	0.3013245	0.717314737	1	61
1397723ddeea239691d7abc735a044df	3.95E-04	0.31767273	0.642380215	0.75140415	91
13a3889f29a8207582de4c938ea801df	0	0.2621534	0.976744186	1	24
13a77ce1b09824eab75efb0465026857	1.75E-04	0.33085896	0.757698413	0.74868991	133
13be89b994f21709f7c27f6d5819c5d3	0	0.3190184	0.984144427	1	114
13c9428d852d394630d3b48971fcbbce	2.50E-04	0.33050847	0.582792762	0.66039254	112
13e42760fa5928df4d9e25934d816bfb	0	0.32704403	0.985074627	1	50
13fbe3f7f70f490db3d268986dcabfd7	0	0.32577566	0.994413408	1	105
140bb989477c233c08443bcb942b0e8a	0	0.30103377	0.990291262	1	75
148e18b57b2e3eaadfa9a8ce86f2ffd4	2.72E-04	0.29088972	0.823717949	0.73593074	78
14aa85df416dda2c1a227b5bffd0d296	0	0.3190184	0.989162041	1	114
14ab74c2931cf5a2cd850cee9c4fc013	0	0.28556485	0.671243326	1	47
14af24a4e18f53e2e7af29d218b7a99b	0.00545124	0.37098692	0.882255951	0.51543412	192
14b9fb7c46ec80590a8bd2f67e158eb6	0	0.1899626	0.981132075	1	27
14c4bbd355ae0b4d5f7771e8dc3b08a1	6.97E-05	0.30921705	0.927767053	0.77282438	119
14e4f3058cc52499dd30ee21bb7f6252	2.50E-04	0.33050847	0.647224959	0.66039254	112
14e7231c72c9a5b0da919927741bef18	0	0.32577566	0.801017946	1	105
14ff25d5c9f51062c0157741bbaf3003	0	0.1899626	0.981132075	1	27
1521258dfe3df6b98379f8f7ce1b06c9	0	0.28854538	0.726851852	1	35
15349e252cdfa13d3dfe54b498893ee1	0	0.33201581	0.995515695	1	125
1549a14c5739c0bfea683e9cecf9fa36	0	0.30682776	0.99378882	1	81
15648ec807d6abda4fda3702ee82b007	4.24E-04	0.29030972	0.540249827	0.70745098	51
158097fe60a9d2c58b0606596328ca91	4.24E-04	0.29030972	0.733024691	0.70745098	51
158aad598aa2d7af61f31c5d0324d547	4.34E-04	0.34162365	0.736842105	0.69325337	116
15d0c8d2b5dcca3a83ea2651db00be89	0	0.2621534	0.976744186	1	24
15dbf1ec609278afa921711a41379906	0	0.29694086	0.99047619	1	59
15e60488713f751eed51b0ef2d822b8a	0	0.28478289	0.837164751	1	62
15e97beda5cf27728abbba1d23318eae	0	0.28064765	0.819531696	1	45
160de7098095ba6cc1d9d5ce2c1d3f3d	0.00151289	0.33115997	0.987341772	0.4839991	211
160e7d871b28309bdfc0f9aee7adeea4	0	0.28111726	0.491098134	1	37
161c12c4244b6164bbb49c4809fa99f7	6.59E-04	0.33976353	0.7267645	0.43333333	160
164de99ddaa0fbe67d9c8ebe4ea4f194	0	0.31111111	0.709253564	1	74
1675a2885f20b9e90e6187e80a0d791c	0	0.31652174	0.898993964	1	64
16929575994633ecb7705c20089ce7f7	9.11E-05	0.336	0.882255951	0.8008222	140
1695df7a5538edd01f098036bcb425ba	6.58E-04	0.30917327	0.735495455	0.73353819	68
16a0e4f91f01d885c913aa81b45d11e5	0	0.28556485	0.953684211	1	47
16d7fc218741c72de070a3e906637b66	0	0.30682776	0.99378882	1	81
16fb01ae7895e66cc9169078b8c606e7	2.21E-05	0.27201395	0.769883711	0.81782265	68
171aa3bf2f585166c613d53b88e6e853	0	0.28816467	0.440384615	1	28
1764c8daecf27556418a07c03bb0363e	2.79E-05	0.31906501	0.952380952	0.87458007	95
1766e2b1625c13ce969318c215f5c92e	5.51E-04	0.33277465	0.981604031	0.61832786	166
1772ec4cc442b4c03b28697db5762f9b	0	0.2869908	0.952380952	1	24
178e85f2e435e09762e7694d2c79898f	0.00111201	0.30358632	0.602422311	0.52017717	128
184cf3457ae897b60a8f1dd9cf373a98	4.70E-04	0.29085098	0.718241606	0.63317308	65
18515880ac568f900415dfb34ed10768	0.0011712	0.3078658	0.973856209	0.57315234	52
187411d3182c5da2cacfc4b4a52a0b64	0	0.16061185	0.987951807	1	42
18b62a251c9ca6f973559b5d522220c4	0	0.34291098	0.987654321	1	57
18b68b99e70fa7c2b18909eea9a8b3e9	7.37E-04	0.33297759	0.619799788	0.55619048	175
193567ddef9abc34e5b07ccc78c7ed72	0	0.32704403	0.985074627	1	50
19652a97261f71b3e313ace6210ee2c8	1.80E-04	0.3019494	0.720972506	0.72035088	76
196c5deb15557b513573b883781e62d8	7.27E-04	0.26514508	0.798008535	0.71666667	25
1976f64215d647c09972643b2a4aef43	2.65E-06	0.28900357	0.54611172	0.96060606	45
19a82b73d5e42f8f3d718a54b71b7741	0	0.23524343	0.923076923	1	8
19ab00a05fd661e393a6e9bd3797de41	0	0.69444444	0.962962963	1	14
19eb79032526a88c09072dbe8dcb8306	0.00592804	0.25815603	0.813053613	0.75193798	43
19f3813921eb07288a0dc6f8d1bd04a4	0.00127261	0.33206629	0.957424714	0.53634476	108
19fc675b763c4abe953000c199ce9171	1.68E-04	0.33384286	0.923076923	0.83515796	139
1a2edd760384ab568f9a09f619fd4386	7.57E-04	0.33050847	0.728403141	0.63241758	105
1a35f05269a8a5febe24c9715f1fca43	0	0.28111726	0.519266055	1	37
1a621e870ec979501f02a41cf68fbcbe	0	0.32704403	0.985074627	1	50
1a6a865de9fb9901d69f257b38cc9e91	2.90E-04	0.33399602	0.598273155	0.61393805	113
1a73c23d9b35b29493e36c74103e9573	0	0.69444444	0.875862069	1	14
1a7d2fa371f71668681815b7537007e4	0	0.28556485	0.68976249	1	47
1a856550fef6a6d9c7b718906bc8f0e9	0.00215308	0.30086789	0.66520979	0.67964946	79
1aa43cd2f86466eaeff58fc7072c87be	0	0.28474576	0.983050847	1	37
1b08be3af40e409499bae5ec0d204fe6	0.01101132	0.37525773	0.460514834	0.400049	157
1b14a9c2d72d6ddd9125bc82ac1a6217	0	0.26294245	0.606690657	1	22
1b2652a049a1fa7af43e9733aab729fa	7.49E-04	0.32961062	0.60146886	0.65437049	87
1b2bc600fcda82eb4812057b70a9c501	1.86E-05	0.31948508	0.983050847	0.82534653	101
1b5f43675b58ffa7fe16efdd896a1a4e	0	0.23113557	0.858461538	1	11
1b6f4cc28538ebdd3cacc886eb999dd9	0	0.24451411	0.975609756	1	21
1b737d426a7218deaa3d16fc16d39b88	1.07E-04	0.29054144	0.608096129	0.58208458	78
1b7a37c18106374da01d0f65c570940e	0	0.29694086	0.99047619	1	59
1bb6f84057b10b3f394c8d15f2d419c9	0.0349723	0.35254237	0.666666667	0.34681803	171
1bbbd587d53fa999aefa5d3afbf38742	0	0.2621534	0.976744186	1	24
1bd7f5552237d0a1b0b841f63283ebf8	0	0.32704403	0.985074627	1	50
1c040c0437add57fd6316c1376237332	0.01415968	0.32728908	0.718847204	0.51815182	102
1c1ff8ec4e0a6b22cffdafe24e1b4beb	0	0.3013245	0.991596639	1	61
1c31f8658fe7767548d7165f9788663c	0	0.26466311	0.918367347	1	25
1c337d8f07b3a0fa037f243bf34c1af0	0	0.2403169	0.91	1	14
1c42a8ce9f79d3febd87cca2f13dac37	0	0.24451411	0.975609756	1	21
1c5799cec882930aaca5189a3527dd3f	0	0.29694086	0.99047619	1	59
1c5afd3e72fff19e32b2bcfc13b0c53c	0	0.30682776	0.99378882	1	81
1c69fc778764a018a387d3c1a9898594	7.13E-05	0.27423405	0.784715688	0.71959686	95
1c76ea97972ce44ba006305958f2d67a	0	0.30178251	0.985915493	1	39
1c9d37841af4b22386c54537cfdfdd35	2.72E-04	0.29088972	0.824780853	0.73593074	78
1ca170fbde52089bafb94dd3a5f3132a	0	0.30178251	0.985915493	1	39
1cbf12f343a03e2f3cd61637cd0e53d1	1.86E-04	0.31629254	0.975354742	0.65352324	116
1d10242196733a64eb689caa02f1d471	0.00884604	0.34307257	0.781954887	0.39741141	227
1d2916cbc4d0d336b31d6c5254ca8455	0	0.27440633	0.803732304	1	37
1d475129335dfd4865968a5aea04c895	0	0.2869908	0.952380952	1	24
1d572d7bc5f18c0358a273a8ad466047	2.64E-04	0.28927152	0.813868323	0.75321477	86
1d6d37153e5dd642b88942e175d737df	0	0.27090052	0.619958988	1	18
1d7ae5f11915e5af4447f89c282ccf2d	0.00325132	0.36261	0.994818653	0.58970427	166
1dc85cd0e882ce50eabab31768ef9461	0	0.29694086	0.99047619	1	59
1dd9531cdd5723c0b4321929d4d7909e	0	0.32802643	0.924139353	1	55
1e07ec1c5d9f549d3e7929fb41cc0b6f	8.20E-04	0.30362853	0.6077025	0.56311844	116
1e276be19d65c78f93cdf515690496de	0	0.24994278	0.983606557	1	27
1e5cb6226668ba0b25b046e42455b178	0.01842031	0.19064246	0.530718954	0.53204565	68
1eb0f2644afacf8fc4179fb7fef894c3	0	0.28556485	0.820353559	1	47
1ec01837d2ff2578e5db5c5b646371ee	0	0.16061185	0.987951807	1	42
1ec2e5a189a010ddbfb5629ec5d1717b	0	0.27572276	0.604417671	1	25
1ecde7489c22295f6e5389b102014186	0	0.24951445	0.965123457	1	39
1ed55efa2379b1fae0753834ff4c477f	0.00210593	0.28702852	0.958641975	0.55009921	64
1efb1c14ffd50721e2ae7af45085e4be	7.39E-04	0.30877987	0.813053613	0.79027576	53
1efc06b17bfa29856f264e5661a4b7db	7.13E-05	0.27423405	0.783579639	0.71959686	95
1f20d5a3dd053840812248e9a467b716	0	0.30682776	0.99378882	1	81
1f4946d7acdb2345c4e850a2a3012109	7.46E-04	0.32971014	0.577979177	0.55136364	176
1f5f434361471224d1d19858a256ba8c	0	0.25588752	0.924379915	1	36
1f6d864c2b1ef72e07bd68e739ea3e9b	0	0.3	0.620818339	1	50
1fa2b5e9f12c155f85749e546c5064f3	5.41E-04	0.30473001	0.923076923	0.71621622	37
1fcacbcbaf3b222c0d76914101061ec8	0	0.64102564	0.885375494	1	11
1fee7dcc85c41e45d20a4939ba3bcbc4	0	0.30178251	0.985915493	1	39
202250da4fdfe71ec9e9c8abce6f01e0	0	0.30178251	0.985915493	1	39
2055539c1d3a5d5553c6f15de88e560b	0.00271571	0.33277465	0.666666667	0.42862254	130
20654b7017d2f2f1765ab3ad0e4a018e	0	0.30751901	0.767846533	1	93
2069c5ba24cc6a7efb934ed8122a1396	0	0.28770913	0.923260073	1	51
207205fc46618ff29abb9c2d6ce9e513	4.69E-04	0.3416771	0.995515695	0.78658479	146
2083e41d9aa7e8b655fdcabe39ba4911	0	0.34291098	0.987654321	1	57
208e5d11a2fd964a94ace5ca22c42589	0	0.16061185	0.987951807	1	42
20c6755798b45c6df325f7aa839ec553	0	0.28111726	0.554628857	1	37
20d3e453c3a277213f29e859e94d7c85	0	0.28093645	0.846713021	1	41
210862a973bd4a94fc4dce1b2e83ca2d	0	0.16061185	0.987951807	1	42
210b89a1d597457cbc697660fce38c42	0	0.30825688	0.935483871	1	47
213f9955a9b6ed4cd2fd1ebd5f87b3fe	0	0.29864625	0.741621622	1	46
2166c21a5b18aca0793b9531b4045673	0	0.29694086	0.99047619	1	59
216fb9d69b30c7cd437ac82748a0ba34	9.92E-04	0.33277465	0.524459792	0.46410256	196
21ea939d98953bd6bb9ee0813f14fac3	7.14E-05	0.28257213	0.694874441	0.66975309	81
21f9f6ece315ae004544a844e1376b22	0	0.1899626	0.981132075	1	27
220d53d7e0a4be380229e085202de920	0	0.30825688	0.988505747	1	47
223847da1e227101f163e8592e55769b	0	0.28556485	0.894677871	1	47
223b2824d5c8318df7522595df599856	1.31E-04	0.32150743	0.800057372	0.61153174	102
223c17a569c724b82202c4b7133e9725	0	0.24994278	0.983606557	1	27
2252d21b2ce8981a8f88b5692761ae99	5.01E-04	0.34162365	0.933333333	0.67331761	149
22688f64b56847c6e7031d7dce7780e7	2.11E-04	0.2943793	0.920145191	0.88170732	41
22758353010f370762835bae080d33f6	0.00274086	0.29178357	0.977616455	0.57269504	48
22f1a8acc1ab69fedea1510948e89cf1	5.69E-05	0.31836735	0.692022263	0.6392372	88
230b6d16baa8d6af9dd2b050cc821f2c	0	0.28556485	0.923148148	1	47
23178f2b90bbce0e522f0249813b218f	0	0.69444444	0.916256158	1	14
236a6a9d44289057f20d8b8e65c8b67c	3.44E-04	0.3380805	0.767216847	0.64844156	176
23770e2b3a70f9d5e0e76fbce35ba8fe	3.44E-04	0.3380805	0.767216847	0.64844156	176
2378d435987ead9d6bb0867640502510	6.58E-04	0.30917327	0.735495455	0.73353819	68
237fd0043b283249178fd9610bc1712c	2.37E-04	0.3493841	0.951520626	0.92103424	54
23dc4325bec96c5ebae1b308b7a10b14	0	0.30751901	0.70003651	1	93
23e22bab35b6c76027cacd8077058d76	0	0.28892711	0.843467643	1	44
23e913fde2acfd90bbee29f36e3b64f4	6.05E-04	0.35299822	0.779228537	0.7206823	134
240c2db03b38a28c9567b4f7640ed23a	3.44E-04	0.3380805	0.767216847	0.64844156	176
243e2038e7d1496f23cd9746785b783f	9.11E-05	0.336	0.882255951	0.8008222	140
24753532148fd3250df092bd021312be	3.44E-04	0.3380805	0.767216847	0.64844156	176
247eebd89708c86258c17803e47a99ed	1.32E-04	0.32582426	0.781931464	0.69063804	130
